name,moneycontrol_id
IDBI Midcap Fund - RP (G),idbi-midcap-fund-rp/MIB228
Edelweiss Mid Cap Fund - D (G),edelweiss-mid-cap-fund-d/MJP117
Motilal Oswal Midcap 30 - (G),motilal-oswal-midcap-30-/MMO025
UTI Mid Cap - Direct (G),uti-mid-cap-direct/MUT637
Baroda Pioneer Mid-cap Fund -Direct (G),baroda-pioneer-mid-cap-fund-direct/MBO097
ABSL Midcap Fund -Direct (G),absl-midcap-fund-direct/MBS829
DHFL Pramerica Midcap Opp Fund-Reg (G),dhfl-pramerica-midcap-opp-fund-reg/MPA137
Edelweiss Mid Cap Fund (G),edelweiss-mid-cap-fund/MJP007
UTI Mid Cap (G),uti-mid-cap/MUT063
Baroda Pioneer Mid-cap Fund (G),baroda-pioneer-mid-cap-fund/MBO050
ABSL Midcap Fund (G),absl-midcap-fund/MBS027
Sundaram Mid Cap Fund - D (G),sundaram-mid-cap-fund-d/MSN568
Sundaram Mid Cap Fund -IP (D),sundaram-mid-cap-fund-ip/MSN335
ABSL Emer. Leaders-Sr 6-DP (G),absl-emer-leaders-sr-6-dp/MBS2057
Sundaram Mid Cap Fund (G),sundaram-mid-cap-fund/MSN012
SBI Magnum Midcap Fund - Direct (G),sbi-magnum-midcap-fund-direct/MSB505
ABSL Emer. Leaders-Sr 6-RP (G),absl-emer-leaders-sr-6-rp/MBS2055
BNP Paribas Mid Cap Fund -Dir (G),bnp-paribas-mid-cap-fund-dir/MAB726
SBI Magnum Midcap Fund (G),sbi-magnum-midcap-fund/MSB065
BNP Paribas Mid Cap Fund (G),bnp-paribas-mid-cap-fund/MAB045
Mahindra UEBY - DP (G),mahindra-ueby-dp/MMH037
Mahindra UEBY - RP (G),mahindra-ueby-rp/MMH035
HDFC Small Cap Fund - Direct (G),hdfc-small-cap-fund-direct/MMS025
HDFC Small Cap Fund  (G),hdfc-small-cap-fund/MMS002
Axis Small Cap Fund - Direct (G),axis-small-cap-fund-direct/MAA316
Axis Small Cap Fund (G),axis-small-cap-fund/MAA314
Sundaram Small Cap - Series IV-DP-G,sundaram-small-cap-series-iv-dp-g/MSN1143
L&T Emerging Businesses Fund-DP (G),l-t-emerging-businesses-fund-dp/MCC492
IDBI Small Cap Fund - DP (G),idbi-small-cap-fund-dp/MIB234
Sundaram Small Cap - Series IV-RP-G,sundaram-small-cap-series-iv-rp-g/MSN1141
Sundaram Small Cap - Series III-DP-G,sundaram-small-cap-series-iii-dp-g/MSN1123
L&T Emerging Businesses Fund-RP (G),l-t-emerging-businesses-fund-rp/MCC490
Sundaram Small Cap - Series III-RP-G,sundaram-small-cap-series-iii-rp-g/MSN1121
Sundaram Select Small Cap - Sr. V-DP-G,sundaram-select-small-cap-sr-v-dp-g/MSN1347
Sundaram Select Small Cap - Sr. VI-DP-G,sundaram-select-small-cap-sr-vi-dp-g/MSN1355
Sundaram Select Micro Cap-Sr 4-DP-G,sundaram-select-micro-cap-sr-4-dp-g/MSN869
Reliance Small Cap - Direct (G),reliance-small-cap-direct/MRC935
Sundaram Select Micro Cap-Sr 1-DP-G,sundaram-select-micro-cap-sr-1-dp-g/MSN797
Sundaram Select Micro Cap-Sr 3-DP-G,sundaram-select-micro-cap-sr-3-dp-g/MSN843
Sundaram Select Micro Cap-Sr 4-RP-G,sundaram-select-micro-cap-sr-4-rp-g/MSN867
Sundaram Select Micro Cap-Sr 3-RP-G,sundaram-select-micro-cap-sr-3-rp-g/MSN841
Sundaram Select Micro Cap-Sr 1-RP-G,sundaram-select-micro-cap-sr-1-rp-g/MSN795
Sundaram Select Small Cap - Sr. VI-RP-G,sundaram-select-small-cap-sr-vi-rp-g/MSN1353
Sundaram Select Micro Cap-Sr 2-DP-G,sundaram-select-micro-cap-sr-2-dp-g/MSN839
Sundaram Select Small Cap - Sr. V-RP-G,sundaram-select-small-cap-sr-v-rp-g/MSN1345
Sundaram Select Micro Cap-Sr 2-RP-G,sundaram-select-micro-cap-sr-2-rp-g/MSN837
Reliance Small Cap Fund (G),reliance-small-cap-fund/MRC587
IDBI Small Cap Fund - RP (G),idbi-small-cap-fund-rp/MIB232
Kotak Small Cap Fund - D (G),kotak-small-cap-fund-d/MKM516
Kotak Small Cap Fund (G),kotak-small-cap-fund/MKM073
Union SCF -DP (G),union-scf-dp/MUK091
Franklin (I) Smaller Co -Direct (G),franklin-i-smaller-co-direct/MTE313
SBI Small Cap Fund - D (G),sbi-small-cap-fund-d/MSA031
Union SCF -RP (G),union-scf-rp/MUK089
Franklin (I) Smaller Cos (G),franklin-i-smaller-cos/MTE090
SBI Small Cap Fund (G),sbi-small-cap-fund/MSA012
ABSL Small Cap Fund - D (G),absl-small-cap-fund-d/MBS833
DSP Small Cap Fund - Direct (G),dsp-small-cap-fund-direct/MDS584
ICICI Pru Smallcap Fund - D (G),icici-pru-smallcap-fund-d/MPI1146
DSP Small Cap Fund - Regular (G),dsp-small-cap-fund-regular/MDS076
ICICI Pru Smallcap Fund - RP (G),icici-pru-smallcap-fund-rp/MPI243
ABSL Small Cap Fund (G),absl-small-cap-fund/MBS104
ICICI Pru Smallcap Fund - IP (G),icici-pru-smallcap-fund-ip/MPI245
Sundaram Select Micro Cap-Sr 8-DP-G,sundaram-select-micro-cap-sr-8-dp-g/MSN1182
Sundaram Select Micro Cap-Sr 10-DP-G,sundaram-select-micro-cap-sr-10-dp-g/MSN1201
HSBC Small Cap Equity Fund - Direct (G),hsbc-small-cap-equity-fund-direct/MHS331
Sundaram Select Micro Cap-Sr 9-DP-G,sundaram-select-micro-cap-sr-9-dp-g/MSN1187
Sundaram Select Micro Cap-Sr 15-DP-G,sundaram-select-micro-cap-sr-15-dp-g/MSN1343
HSBC Small Cap Equity Fund (G),hsbc-small-cap-equity-fund/MHS048
Sundaram Select Micro Cap-Sr 10-RP-G,sundaram-select-micro-cap-sr-10-rp-g/MSN1199
Sundaram Select Micro Cap-Sr 15-RP-G,sundaram-select-micro-cap-sr-15-rp-g/MSN1341
Sundaram Select Micro Cap-Sr 8-RP-G,sundaram-select-micro-cap-sr-8-rp-g/MSN1180
Sundaram Select Micro Cap-Sr 9-RP-G,sundaram-select-micro-cap-sr-9-rp-g/MSN1185
Sundaram Select Micro Cap-Sr 14-DP-G,sundaram-select-micro-cap-sr-14-dp-g/MSN1326
Sundaram Select Micro Cap-Sr 11-DP-G,sundaram-select-micro-cap-sr-11-dp-g/MSN1294
Sundaram Select Micro Cap-Sr 14-RP-G,sundaram-select-micro-cap-sr-14-rp-g/MSN1324
Sundaram Select Micro Cap-Sr 12-DP-G,sundaram-select-micro-cap-sr-12-dp-g/MSN1302
Sundaram Select Micro Cap-Sr 17-DP-G,sundaram-select-micro-cap-sr-17-dp-g/MSN1363
Sundaram Select Micro Cap-Sr 11-RP-G,sundaram-select-micro-cap-sr-11-rp-g/MSN1292
Sundaram Select Micro Cap-Sr 16-RP-G,sundaram-select-micro-cap-sr-16-rp-g/MSN1357
Sundaram Select Micro Cap-Sr 12-RP-G,sundaram-select-micro-cap-sr-12-rp-g/MSN1300
Sundaram Select Micro Cap-Sr 17-RP-G,sundaram-select-micro-cap-sr-17-rp-g/MSN1361
Sundaram Small Cap Fund - D (G),sundaram-small-cap-fund-d/MSN572
Sundaram SMILE Fund - IP (G),sundaram-smile-fund-ip/MSN339
Sundaram SMILE Fund (G),sundaram-smile-fund/MSN066
