name,moneycontrol_id
Baroda Pioneer ELSS 96 - Plan B Dir (G),baroda-pioneer-elss-96-plan-b-dir/MBO225
UTI Long Term Advantage S5 (G),uti-long-term-advantage-s5/MUT2771
UTI Long Term Advantage S3 (G),uti-long-term-advantage-s3/MUT2233
BOI AXA Tax Advantage - Direct (G),boi-axa-tax-advantage-direct/MBA083
Baroda Pioneer ELSS 96 - Plan-A (G),baroda-pioneer-elss-96-plan-a/MBO224
BOI AXA Tax Advtg -Eco (G),boi-axa-tax-advtg-eco/MBA045
BOI AXA Tax Advtg -RP (G),boi-axa-tax-advtg-rp/MBA043
UTI Long Term Advantage S5 (G),uti-long-term-advantage-s5/MUT2769
Tata Infra Tax Saving Fund (G),tata-infra-tax-saving-fund/MTA470
UTI Long Term Advantage S4 (G),uti-long-term-advantage-s4/MUT2570
SBI Long Term Advantage-Sr2-DP (G),sbi-long-term-advantage-sr2-dp/MSB1093
SBI Long Term Advantage-Sr2-RP (G),sbi-long-term-advantage-sr2-rp/MSB1091
SBI Long Term Advantage-Sr1-DP (G),sbi-long-term-advantage-sr1-dp/MSB1065
UTI Long Term Advantage S4 (G),uti-long-term-advantage-s4/MUT2568
SBI Long Term Advantage-Sr1-RP (G),sbi-long-term-advantage-sr1-rp/MSB1063
Reliance Tax Saver(ELSS)-Direct (G),reliance-tax-saver-elss-direct/MRC938
Reliance Tax Saver (ELSS) (G),reliance-tax-saver-elss-/MRC101
SBI LTAF-Sr-6 Regular (G),sbi-ltaf-sr-6-regular/MSB1373
UTI Long Term Advantage S7 (G),uti-long-term-advantage-s7/MUT2970
UTI Long Term Advantage S7 (G),uti-long-term-advantage-s7/MUT2968
UTI Long Term Advantage S6 (G),uti-long-term-advantage-s6/MUT2922
UTI Long Term Advantage S6 (G),uti-long-term-advantage-s6/MUT2920
SBI LTAF-Sr-5 Regular- Direct (G),sbi-ltaf-sr-5-regular-direct/MSB1331
SBI LTAF-Sr-5 Regular (G),sbi-ltaf-sr-5-regular/MSB1329
Sundaram LT Tax Adv.- Sr-III- RP (G),sundaram-lt-tax-adv-sr-iii-rp/MSN1373
Sundaram LT Tax Adv.- Sr-III- DP (G),sundaram-lt-tax-adv-sr-iii-dp/MSN1375
Sundaram LT Tax Adv.- Sr-IV- RP (G),sundaram-lt-tax-adv-sr-iv-rp/MSN1402
Sundaram LT Tax Adv.- Sr-IV- DP (G),sundaram-lt-tax-adv-sr-iv-dp/MSN1404
Sundaram LT Tax Adv.- Sr-V- RP (G),sundaram-lt-tax-adv-sr-v-rp/MSN1430
Indiabulls Tax Savings Fund-RP (G),indiabulls-tax-savings-fund-rp/MIM115
Indiabulls Tax Savings Fund-DP (G),indiabulls-tax-savings-fund-dp/MIM117
Sundaram LT Tax Adv.- Sr-V- DP (G),sundaram-lt-tax-adv-sr-v-dp/MSN1432
SBI LTAF-Sr-6 Direct (G),sbi-ltaf-sr-6-direct/MSB1375
Axis MCF - DP (G),axis-mcf-dp/MAA737
UTI Equity Fund - Direct (G),uti-equity-fund-direct/MUT651
Axis MCF - RP (G),axis-mcf-rp/MAA739
UTI Equity Fund (G),uti-equity-fund/MUT009
CR Equity Diversified Fund - D (G),cr-equity-diversified-fund-d/MCA202
CR Equity Diversified Fund (G),cr-equity-diversified-fund/MCA022
Mirae Asset India Equity - D (G),mirae-asset-india-equity-d/MMA096
ICICI Prudential Multicap Fund - D (G),icici-prudential-multicap-fund-d/MPI1132
PP Long Term Equity Fund -DP (G),pp-long-term-equity-fund-dp/MPP002
Mirae Asset India Equity - (G),mirae-asset-india-equity-/MMA001
PP Long Term Equity Fund -RP (G),pp-long-term-equity-fund-rp/MPP001
ICICI Prudential Multicap Fund (G),icici-prudential-multicap-fund/MPI028
Kotak Standard Multicap Fund - D (G),kotak-standard-multicap-fund-d/MKM520
Reliance Capital Builder-II-Sr-B DP(G),reliance-capital-builder-ii-sr-b-dp/MRC1763
IDBI Diversified Equity Fund-DP (G),idbi-diversified-equity-fund-dp/MIB216
Kotak Standard Multicap Fund (G),kotak-standard-multicap-fund/MKM311
Reliance Capital Builder-II-Sr-B (G),reliance-capital-builder-ii-sr-b/MRC1761
Union Equity Fund - Direct (G),union-equity-fund-direct/MUK027
ABSL Equity Fund -Direct (G),absl-equity-fund-direct/MBS811
Union Equity Fund (G),union-equity-fund/MUK001
Reliance Multi Cap - Direct (G),reliance-multi-cap-direct/MRC914
L&T Equity Fund -Direct (G),l-t-equity-fund-direct/MCC309
IDBI Diversified Equity Fund-RP (G),idbi-diversified-equity-fund-rp/MIB214
Reliance Multi Cap - RP (G),reliance-multi-cap-rp/MRC089
L&T Equity Fund (G),l-t-equity-fund/MFF001
ABSL Equity Fund (G),absl-equity-fund/MAC006
JM Multicap Fund - D (G),jm-multicap-fund-d/MJM320
Franklin India Equity Fund - D (G),franklin-india-equity-fund-d/MTE315
